,Active_School_Zone_Fl,Active_School_Zone_Fl_01,Adt_Adj_Curnt_Amt,Adt_Curnt_Amt,Adt_Curnt_Year,Amend_Supp_Fl,Amend_Supp_Fl_01,At_Intrsct_Fl,At_Intrsct_Fl_01,Cmv_Involv_Fl,Cmv_Involv_Fl_01,Control,CrashDateFormated,Crash_Date,Crash_Fatal_Fl,Crash_Fatal_Fl_01,Crash_ID,Crash_Speed_Limit,Crash_Time,Day_of_Week,Death_Cnt,Dfo,Hp_Median_Width,Hp_Shldr_Left,Hp_Shldr_Right,Hwy_Nbr,Hwy_Sys,Incap_Injry_Cnt,Investigat_Arrv_Time,Investigat_Comp_Fl,Investigat_Comp_Fl_01,Investigat_Notify_Meth,Investigat_Notify_Time,Latitude,Located_Fl,Located_Fl_01,Longitude,Median_Width,Medical_Advisory_Fl,Medical_Advisory_Fl_01,Milepoint,Nbr_Of_Lane,Non_Injry_Cnt,Nonincap_Injry_Cnt,ORI_Number,Onsys_Fl,Onsys_Fl_01,Pct_Combo_Trk_Adt,Pct_Single_Trk_Adt,Poss_Injry_Cnt,Private_Dr_Fl,Private_Dr_Fl_01,Ref_Mark_Displ,Ref_Mark_Nbr,Report_Date,Road_Constr_Zone_Fl,Road_Constr_Zone_Fl_01,Road_Constr_Zone_Wrkr_Fl,Road_Constr_Zone_Wrkr_Fl_01,Roadbed_Width,Row_Width_Usual,Rpt_Block_Num,Rpt_Hwy_Num,Rpt_Outside_City_Limit_Fl,Rpt_Outside_City_Limit_Fl_01,Rpt_Sec_Block_Num,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Street_Name,Rpt_Street_Sfx,Rr_Relat_Fl,Rr_Relat_Fl_01,Rural_Fl,Rural_Fl_01,Schl_Bus_Fl,Schl_Bus_Fl_01,Section,Shldr_Width_Left,Shldr_Width_Right,Street_Name,Street_Name_2,Street_Nbr,Surf_Width,Thousand_Damage_Fl,Thousand_Damage_Fl_01,Toll_Road_Fl,Toll_Road_Fl_01,Tot_Injry_Cnt,Trk_Aadt_Pct,Txdot_Rptable_Fl,Txdot_Rptable_Fl_01,Unkn_Injry_Cnt
809,N,0,164135.0,164135.0,2014.0,N,0,N,0,N,0,500.0,2013-03-13 05:40:00,3/13/2013,N,0,13183409,65,5:40 AM,WED,0,31.51,52.0,12.0,10.0,45,IH,0,7:07 AM,Y,1,H.P.D. DISPATCHER,6:40 AM,29.59461018,Y,1,-95.19329298,28.0,N,0,7.58,6.0,1,1,TXHPD0000,Y,1,4.6,5.5,0,N,0,0.44,31,3/14/2013,N,0,N,0,120.0,300.0,15200,45,N,0,12900,SCARSDALE,BLVD,GULF,FWY,N,0,N,0,N,0,3.0,24.0,20.0,IH0045,,,72.0,Y,1,N,0,1,10.1,Y,1,0
810,N,0,,,,N,0,N,0,N,0,,2013-03-09 23:57:00,3/9/2013,N,0,13183428,30,11:57 PM,SAT,0,,,,,,,0,12:05 AM,Y,1,DISPATCHED,12:00 AM,32.65070429,Y,1,-97.00403869,,Y,1,,,1,1,TX0571200,N,0,,,0,N,0,,,3/10/2013,N,0,N,0,,,300,,N,0,5100,TERSK,CT,SANDRA,LN,N,0,N,0,N,0,,,,SANDRA LN,,310.0,,Y,1,N,0,1,,Y,1,0
811,N,0,,,,N,0,N,0,N,0,,2013-03-05 14:45:00,3/5/2013,N,0,13183463,35,2:45 PM,TUE,0,,,,,,,0,3:04 PM,Y,1,ATASCOSA COUNTY S.O.,2:52 PM,,N,0,,,N,0,,,0,0,,N,0,,,0,N,0,,,3/11/2013,N,0,N,0,,,,,Y,1,,NOT REPORTED,,BLUNZER,RD,N,0,Y,1,N,0,,,,BLUNZER RD,,,,Y,1,N,0,0,,Y,1,1
812,N,0,112005.0,112005.0,2014.0,N,0,N,0,N,0,271.0,2013-02-17 03:55:00,2/17/2013,N,0,13183783,40,3:55 AM,SUN,0,24.234,40.0,10.0,10.0,610,IH,0,4:07 AM,Y,1,DISPATCHED,4:01 AM,29.79862529,Y,1,-95.27412097,20.0,N,0,12.387,8.0,0,1,TXHPD0000,Y,1,5.6,4.2,0,N,0,0.493,24,3/9/2013,N,0,N,0,136.0,300.0,8800,610,N,0,3800,MCCARTY,,NORTH LP E SER S,,N,0,N,0,N,0,14.0,20.0,20.0,IH0610,,,96.0,Y,1,N,0,1,9.8,Y,1,0
813,N,0,,,,N,0,N,0,N,0,,2013-03-10 04:33:00,3/10/2013,N,0,13183795,60,4:33 AM,SUN,0,,,,,610,IH,1,4:53 AM,Y,1,DISPATCHED,4:47 AM,,N,0,,,N,0,,,0,0,TXHPD0000,Y,1,,,0,N,0,,,3/10/2013,N,0,N,0,,,900,610,N,0,6100,IRVINGTON,,NORTH LP E,,N,0,N,0,N,0,,,,IH0610,,,,Y,1,N,0,1,,Y,1,0
814,N,0,,,,N,0,N,0,N,0,,2013-03-13 20:30:00,3/13/2013,N,0,13185018,5,8:30 PM,WED,0,,,,,,,0,8:40 PM,N,0,DISPATCHED,8:35 PM,,N,0,,,N,0,,,0,0,TX1630100,N,0,,,0,Y,1,,,3/13/2013,N,0,N,0,,,610,,N,0,600,MADRID,ST,MADRID,ST,N,0,Y,1,N,0,,,,MADRID ST,,,,Y,1,N,0,0,,N,0,1
815,N,0,16857.0,16857.0,2014.0,N,0,Y,1,N,0,2351.0,2013-03-10 22:35:00,3/10/2013,N,0,13185060,45,10:35 PM,SUN,0,12.193,17.0,1.0,2.0,2478,FM,0,10:45 PM,Y,1,FPD DISPATCH CENTER,10:40 PM,33.1741732,Y,1,-96.73286318,15.0,N,0,6.071000000000001,6.0,2,2,TX0430400,Y,1,0.8,4.7,0,N,0,0.142,238,3/10/2013,N,0,N,0,72.0,120.0,15000,,N,0,12000,CUSTER,RD,ELDORADO,PKWY,N,0,N,0,N,0,1.0,2.0,4.0,FM2478,ELDORADO PKWY,3001.0,66.0,Y,1,N,0,2,5.5,Y,1,0
816,N,0,,,,N,0,N,0,N,0,,2013-03-09 07:55:00,3/9/2013,N,0,13185074,0,7:55 AM,SAT,0,,,,,,,0,8:07 AM,Y,1,DISPATCHED,8:01 AM,,N,0,,,N,0,,,2,0,920500,N,0,,,0,Y,1,,,3/9/2013,N,0,N,0,,,3301,,N,0,,LOOP 281,,4TH,ST,N,0,N,0,N,0,,,,4TH ST,,,,Y,1,N,0,0,,N,0,0
817,N,0,30769.0,30769.0,2014.0,N,0,N,0,N,0,1188.0,2013-03-07 16:21:00,3/7/2013,N,0,13185216,45,4:21 PM,THU,0,0.2,49.0,4.0,10.0,250,SL,0,4:21 PM,Y,1,WITNESSED,4:21 PM,32.00066352,Y,1,-102.1547864,38.0,N,0,14.794,4.0,0,1,TX1650100,Y,1,0.1,0.8,0,N,0,0.040999999999999995,274,3/7/2013,N,0,N,0,73.0,392.0,1600,250,N,0,5500,WALL,ST,LOOP 250,,N,0,N,0,N,0,2.0,11.0,14.0,SL0250,,,48.0,Y,1,N,0,1,1.0,Y,1,0
818,N,0,9995.0,9995.0,2014.0,N,0,N,0,N,0,253.0,2013-01-04 11:20:00,1/4/2013,N,0,13185367,45,11:20 AM,FRI,0,295.89799999999997,71.0,8.0,4.0,281,US,0,11:54 AM,Y,1,DPS SAN ANTONIO COMM,11:28 AM,29.93811806,Y,1,-98.41087647,55.0,N,0,5.1610000000000005,4.0,2,0,TX0460000,Y,1,6.7,12.0,0,N,0,0.161,500,1/4/2013,N,0,N,0,88.0,400.0,,281,Y,1,,NOT REPORTED,,NOT REPORTED,,N,0,Y,1,N,0,3.0,16.0,8.0,US0281,,,48.0,Y,1,N,0,0,18.8,Y,1,0
819,N,0,21838.0,21838.0,2014.0,N,0,Y,1,N,0,22.0,2013-02-12 13:51:00,2/12/2013,N,0,13185648,30,1:51 PM,TUE,0,301.862,0.0,10.0,10.0,90,US,0,1:55 PM,Y,1,DISPATCHED,1:53 PM,29.38397457,Y,1,-100.9054332,0.0,N,0,72.652,4.0,1,0,TX2330100,Y,1,11.3,3.3,1,N,0,0.605,418,2/12/2013,N,0,N,0,84.0,210.0,1900,,N,0,200,LOWE,DR,BEDELL,AVE,N,0,N,0,N,0,10.0,10.0,10.0,US0090,LOWE DR,2005.0,64.0,N,0,N,0,1,14.7,Y,1,0
820,N,0,24262.0,24262.0,2014.0,N,0,N,0,N,0,1257.0,2013-03-06 21:50:00,3/6/2013,N,0,13187498,45,9:50 PM,WED,0,1.469,0.0,0.0,0.0,1092,FM,1,10:01 PM,Y,1,DISPATCHED,9:56 PM,29.63120411,Y,1,-95.56497477,0.0,N,0,1.524,6.0,2,1,TX0790400,Y,1,1.4,3.9,0,N,0,0.909,478,3/6/2013,N,0,N,0,88.0,120.0,13700,1092,N,0,10600,GREENBOUGH,DR,MURPHY,RD,N,0,N,0,N,0,1.0,0.0,0.0,FM1092,GREENBRIAR DR,,74.0,Y,1,N,0,2,5.2,Y,1,0
821,N,0,14480.0,14480.0,2014.0,N,0,Y,1,N,0,51.0,2013-03-08 15:59:00,3/8/2013,N,0,13187510,30,3:59 PM,FRI,0,5.037,76.0,2.0,2.0,3005,FM,0,4:03 PM,Y,1,DISPATCH,3:59 PM,29.22858115,Y,1,-94.89679223,72.0,N,0,5.072,4.0,2,0,TX0840400,Y,1,0.2,4.2,0,N,0,-0.884,508,3/8/2013,N,0,N,0,56.0,200.0,1200,,N,0,900,SEAWALL,BLVD,9TH,ST,N,0,N,0,N,0,9.0,4.0,4.0,FM3005,,11745.0,48.0,Y,1,N,0,0,4.4,Y,1,0
822,N,0,,,,N,0,N,0,N,0,,2013-03-12 23:35:00,3/12/2013,N,0,13187658,30,11:35 PM,TUE,0,,,,,,,0,11:46 PM,Y,1,HQ,11:38 PM,32.35827678,Y,1,-99.79801588,,N,0,,,1,0,TX2210100,N,0,,,0,N,0,,,3/12/2013,N,0,N,0,,,5400,,N,0,7300,PRAIRIE VIEW,AVE,WAGON WHEEL,AVE,N,0,N,0,N,0,,,,WAGON WHEEL AVE,,5410.0,,Y,1,N,0,0,,Y,1,0
823,N,0,,,,Y,1,Y,1,N,0,,2013-03-08 11:09:00,3/8/2013,N,0,13187736,40,11:09 AM,FRI,0,,,,,,,0,11:17 AM,Y,1,DISPATCH,11:11 AM,,N,0,,,N,0,,,2,0,TX0572000,N,0,,,0,N,0,,,3/8/2013,N,0,N,0,,,,,N,0,,LAKE PARK,WAY,COIT,RD,N,0,N,0,N,0,,,,N COIT RD,LAKE PARK WAY,,,Y,1,N,0,0,,Y,1,0
824,N,0,54949.0,54949.0,2014.0,N,0,N,0,N,0,27.0,2013-03-14 10:45:00,3/14/2013,N,0,13187821,35,10:45 AM,THU,0,166.262,4.0,0.0,0.0,90,UA,0,11:01 AM,Y,1,HPD DISPATCH,10:51 AM,29.69276323,Y,1,-95.41307612,4.0,N,0,9.314,8.0,4,0,TXHPD0000,Y,1,1.4,3.9,0,N,0,0.369,694,3/14/2013,N,0,N,0,96.0,200.0,1200,90A,N,0,7900,KIRBY,DR,OLD SPANISH,TRL,N,0,N,0,N,0,9.0,0.0,0.0,UA0090,,,96.0,Y,1,N,0,0,5.2,Y,1,2
825,N,0,47358.0,47358.0,2014.0,N,0,N,0,Y,1,47.0,2013-02-26 09:05:00,2/26/2013,N,0,13187825,65,9:05 AM,TUE,0,34.306,52.0,4.0,12.0,75,US,0,9:15 AM,Y,1,DISPATCHED,9:08 AM,33.34416124,Y,1,-96.58679414,44.0,N,0,3.8080000000000003,4.0,3,0,TX0432600,Y,1,5.4,2.8,0,N,0,-0.184,228,2/26/2013,N,0,N,0,80.0,300.0,,75,N,0,,WHITE,ST,CENTRAL,EXPY,N,0,N,0,N,0,14.0,8.0,24.0,US0075,,,48.0,Y,1,N,0,0,8.3,Y,1,0
826,N,0,8828.0,8828.0,2014.0,Y,1,N,0,Y,1,42.0,2013-02-08 18:05:00,2/8/2013,N,0,13187857,75,6:05 PM,FRI,0,175.726,56.0,6.0,10.0,287,US,0,6:23 PM,Y,1,DONLEY CO DISPATCH,6:09 PM,34.79768936,Y,1,-100.58149870000001,46.0,N,0,6.197,4.0,5,0,,Y,1,34.4,2.4,0,N,0,-0.965,196,3/11/2013,N,0,N,0,80.0,218.0,,287,Y,1,,NOT REPORTED,,NOT REPORTED,,N,0,Y,1,N,0,8.0,10.0,20.0,US0287,,4768.0,48.0,Y,1,N,0,0,36.8,Y,1,0
827,N,0,,,,N,0,N,0,N,0,,2013-03-09 00:47:00,3/9/2013,N,0,13188480,30,12:47 AM,SAT,0,,,,,,,0,1:03 AM,Y,1,DISPATCHED,12:48 AM,32.96362424,Y,1,-97.24037244,,N,0,,,1,0,TX2203000,N,0,,,0,N,0,,,3/15/2013,N,0,N,0,,,600,,N,0,,MARSHALL RIDGE,PKWY,RIDGE POINT,PKWY,N,0,N,0,N,0,,,,RIDGE POINT PKWY,,600.0,,Y,1,N,0,0,,Y,1,0
828,N,0,,,,N,0,N,0,N,0,,2013-03-14 16:48:00,3/14/2013,N,0,13188720,40,4:48 PM,THU,0,,,,,,,0,4:59 PM,Y,1,DISPATCHED,4:50 PM,29.74567865,Y,1,-95.72977516,,N,0,,,2,0,TX1010000,N,0,,,0,N,0,,,3/14/2013,N,0,N,0,,,2500,,Y,1,,WESTGREEN,,FRY,RD,N,0,Y,1,N,0,,,,S FRY RD,,,,Y,1,N,0,0,,Y,1,0
829,N,0,,,,N,0,N,0,N,0,,2013-03-07 22:40:00,3/7/2013,N,0,13188981,60,10:40 PM,THU,0,,,,,,,0,10:44 PM,Y,1,ON VIEW,10:44 PM,,N,0,,,N,0,,,2,0,TX0612300,Y,1,,,0,N,0,,,3/7/2013,N,0,N,0,,,7100,I35E,N,0,,NOT REPORTED,,I35E SB,,N,0,N,0,N,0,,,,IHI35E,,,,Y,1,N,0,0,,Y,1,0
830,N,0,165940.0,165940.0,2014.0,N,0,N,0,N,0,353.0,2013-03-06 05:57:00,3/6/2013,N,0,13189286,0,5:57 AM,WED,0,13.843,18.0,4.0,10.0,26,SH,0,6:09 AM,Y,1,DISPATCH,5:57 AM,32.92307517,Y,1,-97.07774513,10.0,N,0,8.44,10.0,1,0,TX2201300,Y,1,3.5,3.2,1,N,0,-0.565,574,3/6/2013,Y,1,Y,1,178.0,350.0,300,114,N,0,1400,MAIN,ST,SH 114,HWY,N,0,N,0,N,0,3.0,20.0,32.0,SH0026,,,120.0,Y,1,N,0,1,6.7,Y,1,0
831,N,0,287905.0,287905.0,2014.0,N,0,Y,1,N,0,271.0,2013-03-13 18:45:00,3/13/2013,N,0,13189378,45,6:45 PM,WED,0,759.118,30.0,0.0,10.0,10,IH,0,6:52 PM,Y,1,DISPATCHED,6:48 PM,29.78432253,Y,1,-95.49886408,20.0,N,0,19.182000000000002,6.0,3,0,TX1012400,Y,1,3.6,2.8,0,N,0,-0.243,761,3/13/2013,N,0,N,0,96.0,275.0,8600,10,N,0,900,BINGLE,RD,KATY FRWY,,N,0,Y,1,N,0,7.0,10.0,10.0,IH0010,BINGLE RD,,72.0,N,0,N,0,0,6.4,N,0,0
832,N,0,14060.0,14060.0,2014.0,N,0,N,0,N,0,3256.0,2013-03-14 17:48:00,3/14/2013,N,0,13189388,50,5:48 PM,THU,0,71.471,0.0,0.0,0.0,8,SL,0,6:00 PM,Y,1,MOBILE DATA COMPUTER,5:50 PM,29.665076799999998,Y,1,-95.15571575,0.0,N,0,19.867,3.0,3,0,TX1011500,Y,1,1.4,1.8,0,N,0,0.778,752,3/14/2013,N,0,N,0,33.0,300.0,3100,8,N,0,5500,SPENCER,HWY,BELTWAY 8,,N,0,N,0,N,0,3.0,0.0,0.0,SL0008,,3109.0,33.0,Y,1,Y,1,0,3.2,Y,1,0
833,N,0,82013.0,82013.0,2014.0,N,0,N,0,N,0,598.0,2013-03-01 15:04:00,3/1/2013,N,0,13189473,65,3:04 PM,FRI,0,10.792,132.0,6.0,10.0,288,SH,0,3:04 PM,Y,1,DISPATCHED,3:04 PM,29.5947565,Y,1,-95.38652325,120.0,N,0,11.299000000000001,6.0,1,0,TX0201000,Y,1,5.7,3.7,0,N,0,-0.595,484,3/1/2013,N,0,N,0,104.0,420.0,13900,288,N,0,11000,SHADOW CREEK,PKWY,SH 288,,N,0,N,0,N,0,1.0,12.0,20.0,SH0288,,,72.0,Y,1,N,0,0,9.4,Y,1,0
834,N,0,127578.0,127578.0,2014.0,Y,1,N,0,N,0,3136.0,2013-02-06 20:10:00,2/6/2013,Y,1,13189768,65,8:10 PM,WED,1,12.072000000000001,112.0,6.0,10.0,1,SL,0,8:15 PM,Y,1,DISPATCH,8:10 PM,30.31937475,Y,1,-97.75604174,100.0,N,0,12.084000000000001,6.0,0,0,TX2270100,Y,1,0.3,1.3,1,N,0,0.166,436,2/6/2013,N,0,N,0,104.0,290.0,4400,1,N,0,2900,45TH,ST,MOPAC,EXPY,N,0,N,0,N,0,1.0,12.0,20.0,SL0001,,,72.0,Y,1,N,0,1,1.6,Y,1,0
835,N,0,,,,N,0,N,0,N,0,,2013-03-12 11:41:00,3/12/2013,N,0,13190384,35,11:41 AM,TUE,0,,,,,,,0,11:49 AM,Y,1,DISPATCHED,11:42 AM,30.21494331,Y,1,-97.83256565,,N,0,,,1,0,TX2270100,N,0,,,1,N,0,,,3/12/2013,N,0,N,0,,,3600,,N,0,,BRODIE,LN,WILLIAM CANNON,DR,N,0,N,0,N,0,,,,W WILLIAM CANNON DR,,,,Y,1,N,0,1,,Y,1,0
836,N,0,,,,N,0,N,0,N,0,,2013-03-07 00:21:00,3/7/2013,N,0,13190417,30,12:21 AM,THU,0,,,,,,,0,12:30 AM,Y,1,DISPATCH,12:21 AM,30.17972091,Y,1,-97.78899588,,N,0,,,0,0,TX2270100,N,0,,,0,N,0,,,3/7/2013,N,0,N,0,,,7900,,N,0,,MAIRO,ST,PEACEFUL HILL,LN,N,0,N,0,N,0,,,,PEACEFUL HILL LN,,8090.0,,Y,1,N,0,0,,Y,1,1
837,N,0,,,,N,0,N,0,N,0,,2013-02-26 21:30:00,2/26/2013,N,0,13192006,50,9:30 PM,TUE,0,,,,,,,0,9:59 PM,Y,1,DISPATCH,9:52 PM,33.54273917,Y,1,-101.9570413,,N,0,,,3,0,TX1520200,N,0,,,0,N,0,,,2/26/2013,N,0,N,0,,,5000,,N,0,6500,MARSHA SHARP,FWY,MILWAUKEE,AVE,N,0,N,0,N,0,,,,MILWAUKEE AVE,US0062,,,N,0,N,0,0,,N,0,0
838,N,0,,,,N,0,Y,1,N,0,,2013-03-13 22:59:00,3/13/2013,N,0,13192462,35,10:59 PM,WED,0,,,,,,,0,10:59 PM,Y,1,ON VIEW,10:59 PM,31.79624483,Y,1,-106.24767040000002,,N,0,,,0,0,TX0710200,N,0,,,0,N,0,,,3/13/2013,N,0,N,0,,,13400,,N,0,12400,EDGEMERE,,R C POE,RD,N,0,N,0,N,0,,,,R C POE RD,EDGEMERE BLVD,,,Y,1,N,0,0,,Y,1,3
839,N,0,,,,N,0,Y,1,N,0,,2013-03-13 17:58:00,3/13/2013,N,0,13192474,0,5:58 PM,WED,0,,,,,,,0,6:05 PM,Y,1,DISPATCHED,5:59 PM,31.81825484,Y,1,-106.44769029999999,,N,0,,,2,0,TX0710200,N,0,,,0,N,0,,,3/13/2013,N,0,N,0,,,3700,,N,0,4700,LACKLAND,,PIERCE,AVE,N,0,N,0,N,0,,,,PIERCE AVE,LACKLAND ST,3799.0,,Y,1,N,0,0,,Y,1,0
840,N,0,,,,N,0,N,0,N,0,,2013-03-05 13:35:00,3/5/2013,N,0,13192627,30,1:35 PM,TUE,0,,,,,,,0,1:37 PM,Y,1,DISPATCHED,1:35 PM,29.58086527,Y,1,-97.95259244,,N,0,,,1,0,TX0940300,N,0,,,0,N,0,,,3/5/2013,N,0,N,0,,,100,,N,0,900,COURT,ST,CHERRY,ST,N,0,N,0,N,0,,,,N CHERRY ST,,1289.0,,Y,1,N,0,0,,Y,1,0
841,N,0,,,,N,0,N,0,N,0,,2013-03-11 12:47:00,3/11/2013,N,0,13192714,30,12:47 PM,MON,0,,,,,,,0,1:29 PM,Y,1,DISPATCHED,1:04 PM,31.81273173,Y,1,-106.40253229999999,,N,0,,,3,0,TX0710200,N,0,,,0,N,0,,,3/11/2013,N,0,N,0,,,20,,N,0,1,BUTTERFIELD TRAIL,AVE,CONCORD,ST,N,0,N,0,N,0,,,,CONCORD ST,,,,Y,1,N,0,0,,Y,1,0
842,N,0,16981.0,16981.0,2014.0,N,0,N,0,N,0,2.0,2013-01-17 16:55:00,1/17/2013,N,0,13193825,0,4:55 PM,THU,0,35.529,0.0,5.0,5.0,20,SH,0,5:55 PM,Y,1,DISPATCH,4:55 PM,31.65466724,Y,1,-106.2907364,0.0,N,0,35.594,4.0,1,0,TX0711600,Y,1,1.9,1.3,0,N,0,-0.37,344,1/17/2013,N,0,N,0,60.0,80.0,10200,20,N,0,,RIO VISTA,,ALAMEDA,AVE,N,0,N,0,N,0,2.0,5.0,5.0,SH0020,SL0375,10302.0,50.0,N,0,N,0,0,3.2,N,0,1
843,N,0,,,,N,0,N,0,N,0,,2013-02-22 17:15:00,2/22/2013,N,0,13194412,0,5:15 PM,FRI,0,,,,,,,0,5:22 PM,Y,1,POLICE RADIO,5:19 PM,,N,0,,,N,0,,,1,0,TX1520200,N,0,,,0,Y,1,,,2/22/2013,N,0,N,0,,,200,,N,0,2500,2ND,PL,UNIVERSITY,AVE,N,0,N,0,N,0,,,,UNIVERSITY AVE,,,,Y,1,N,0,0,,N,0,1
844,N,0,105494.0,105494.0,2014.0,N,0,N,0,N,0,196.0,2013-02-19 15:44:00,2/19/2013,N,0,13194611,60,3:44 PM,TUE,0,90.016,48.0,4.0,10.0,35,IH,0,3:50 PM,Y,1,DISPATCHER,3:44 PM,33.15966094,Y,1,-97.06968625,40.0,N,0,14.561,4.0,2,0,TX0612300,Y,1,6.1,3.2,0,N,0,-345.0,461,2/19/2013,N,0,N,0,76.0,400.0,,35,N,0,,POST OAK DRIVE,,NB 5600 IH35E STEMMONS,,N,0,N,0,N,0,1.0,8.0,20.0,IH0035E,,,48.0,Y,1,N,0,0,9.3,Y,1,0
845,N,0,,,,N,0,N,0,N,0,,2013-02-20 19:00:00,2/20/2013,N,0,13194613,45,7:00 PM,WED,0,,,,,,,0,7:05 PM,Y,1,BY PHONE BY PASSERBY,7:00 PM,,N,0,,,N,0,,,1,0,TX0612300,N,0,,,0,N,0,,,2/20/2013,N,0,N,0,,,6200,,N,0,,NOT REPORTED,,I 35 E SERVICE,RD,N,0,N,0,N,0,,,,I 35 E SERVICE RD,,,,Y,1,N,0,0,,Y,1,0
846,N,0,,,,N,0,Y,1,N,0,,2013-03-13 16:45:00,3/13/2013,N,0,13195583,30,4:45 PM,WED,0,,,,,,,0,4:51 PM,Y,1,SW DISPATCHER,4:45 PM,29.62420483,Y,1,-95.46094307,,N,0,,,4,0,TXHPD0000,N,0,,,0,N,0,,,3/16/2013,N,0,N,0,,,5200,,N,0,14000,CATINA,LN,PRUDENCE,DR,N,0,N,0,N,0,,,,PRUDENCE DR,CATINA LN,5301.0,,Y,1,N,0,0,,Y,1,0
847,N,0,,,,N,0,Y,1,N,0,,2013-03-01 18:12:00,3/1/2013,N,0,13196896,40,6:12 PM,FRI,0,,,,,,,0,6:29 PM,N,0,DISPATCHED,6:29 PM,27.75210528,Y,1,-97.43568264,,N,0,,,1,0,TX1780200,N,0,,,0,N,0,,,3/1/2013,N,0,N,0,,,4500,,N,0,1600,GOLLIHAR,RD,GREENWOOD,DR,N,0,N,0,N,0,,,,GREENWOOD DR,GOLLIHAR RD,4500.0,,Y,1,N,0,0,,Y,1,1
848,N,0,,,,N,0,Y,1,N,0,,2013-03-14 06:30:00,3/14/2013,N,0,13197094,35,6:30 AM,THU,0,,,,,,,0,10:03 AM,N,0,DISPATCHED,9:30 AM,29.77904479,Y,1,-95.13857315,,N,0,,,1,0,TX1010000,N,0,,,0,N,0,,,3/14/2013,N,0,N,0,,,400,,Y,1,,AVE C,,DELLDALE,,N,0,Y,1,N,0,,,,DELL DALE BLVD,AVENUE C,398.0,,Y,1,N,0,0,,Y,1,1
849,N,0,,,,N,0,N,0,N,0,,2013-03-08 16:25:00,3/8/2013,N,0,13198317,40,4:25 PM,FRI,0,,,,,,,0,4:45 PM,Y,1,DISPATCHED,4:33 PM,33.00643325,Y,1,-96.8437727,,N,0,,,2,0,TX0000006,N,0,,,0,N,0,,,3/27/2013,N,0,N,0,,,18600,,N,0,4000,BRIARBEND,RD,MIDWAY,RD,N,0,N,0,N,0,,,,MIDWAY RD,BRIARBEND RD,,,Y,1,N,0,0,,Y,1,0
850,N,0,,,,N,0,N,0,N,0,,2013-03-08 13:00:00,3/8/2013,N,0,13198685,30,1:00 PM,FRI,0,,,,,,,0,6:50 PM,N,0,DISPATCHED,6:41 PM,35.16379665,Y,1,-101.8751012,,N,0,,,3,0,TX1880100,N,0,,,0,N,0,,,3/21/2013,N,0,N,0,,,4500,,N,0,,45TH,AVE,MAVERICK,ST,N,0,N,0,N,0,,,,MAVERICK ST,SW 45TH AVE,4501.0,,N,0,N,0,0,,N,0,0
851,N,0,,,,Y,1,N,0,N,0,,2013-03-10 14:20:00,3/10/2013,N,0,13198727,45,2:20 PM,SUN,0,,,,,,,0,3:35 PM,Y,1,DPS COMMUNICATIONS,3:22 PM,34.94815248,Y,1,-101.937104,,N,0,,,2,0,TXDPS0200,N,0,,,0,N,0,,,3/20/2013,N,0,N,0,,,,,Y,1,,SONCY,RD,RICE,RD,N,0,Y,1,N,0,,,,RICE RD,SONCY RD,8685.0,,Y,1,N,0,0,,Y,1,1
852,N,0,38486.0,38486.0,2014.0,N,0,Y,1,N,0,720.0,2013-03-06 23:11:00,3/6/2013,N,0,13198786,50,11:11 PM,WED,0,19.485,20.0,9.0,10.0,249,SH,0,11:11 PM,Y,1,DISPATCHED,11:11 PM,29.936965100000002,Y,1,-95.51621467,2.0,N,0,15.915,6.0,2,0,TX1014900,Y,1,7.4,5.1,3,N,0,0.6509999999999999,0464A,3/6/2013,N,0,N,0,110.0,290.0,6100,,Y,1,,TOMBALL,PKWY,SAM HOUSTON,PKWY,N,0,Y,1,N,0,3.0,18.0,20.0,SH0249,SL0008,,72.0,Y,1,N,0,3,12.4,Y,1,0
853,N,0,,,,N,0,N,0,N,0,,2013-02-26 14:41:00,2/26/2013,N,0,13200491,0,2:41 PM,TUE,0,,,,,,,0,2:41 PM,N,0,DISPATCH,2:41 PM,,N,0,,,N,0,,,3,0,TX2410200,N,0,,,0,Y,1,,,2/26/2013,N,0,N,0,,,10300,,N,0,2300,FM 102,HWY,HWY 59,HWY,N,0,N,0,N,0,,,,N HWY 59 HWY,,,,N,0,N,0,0,,N,0,0
854,N,0,1342.0,1342.0,2014.0,N,0,N,0,N,0,211.0,2013-02-04 17:37:00,2/4/2013,N,0,13200502,60,5:37 PM,MON,0,4.555,0.0,2.0,2.0,155,FM,0,5:50 PM,Y,1,FAYETTE CO. SO,5:38 PM,29.85085062,Y,1,-96.82131747,0.0,N,0,5.672000000000001,2.0,1,0,,Y,1,5.4,14.5,0,N,0,0.626,470,2/4/2013,N,0,N,0,26.0,60.0,,155,Y,1,,ANDERS BOTTOM,RD,NOT REPORTED,,N,0,Y,1,N,0,9.0,2.0,2.0,FM0155,,4872.0,22.0,Y,1,N,0,0,20.0,Y,1,0
